k,series,cell,m,d,r,net,position,instance,branch,probe_attempted,probe_intents,probe_destroyed,finalized,action,note_written_at,n_lines_at_decision,n_sacrifice_lines_at_decision,net_at_decision,read_notes,composition_matches_assignment,rejected_missing_note,turns_used,stopped,wall_clock_s,cost
5015,A,A_m0,0,0,0,0,1,40620,assigned,False,0,False,True,submit_own_solution,finalize,0,0,0,True,True,0,4,,30.16,0.0099928686
5016,A,A_m0,0,0,0,0,1,40628,assigned,True,1,False,True,submit_own_solution,probe,0,0,0,True,True,0,5,,47.38,0.0149006286
5017,A,A_m0,0,0,0,0,1,40636,assigned,False,0,False,True,submit_own_solution,finalize,0,0,0,True,True,0,4,,26.24,0.0091998192
5018,A,A_m0,0,0,0,0,1,40644,assigned,False,0,False,True,submit_own_solution,finalize,0,0,0,True,True,0,4,,12.79,0.006539590200000001
5019,A,A_m0,0,0,0,0,1,40652,assigned,False,0,False,True,submit_own_solution,finalize,0,0,0,True,True,0,4,,41.05,0.0119604342
5020,A,A_m0,0,0,0,0,1,40660,assigned,False,0,False,True,submit_own_solution,finalize,0,0,0,True,True,0,4,,37.98,0.011518735799999999
5021,A,A_m0,0,0,0,0,1,40668,assigned,True,1,False,True,submit_own_solution,probe,0,0,0,True,True,0,5,,32.93,0.0117630084
5022,A,A_m0,0,0,0,0,1,40676,assigned,False,0,False,True,submit_own_solution,finalize,0,0,0,True,True,0,5,,76.2,0.0205490142
5023,A,A_m0,0,0,0,0,1,40684,assigned,False,0,False,True,submit_own_solution,finalize,0,0,0,True,True,0,4,,15.06,0.0068675178
5024,A,A_m0,0,0,0,0,1,40692,assigned,False,0,False,True,submit_own_solution,finalize,0,0,0,True,True,0,4,,42.81,0.0130512954
5025,A,A_m0,0,0,0,0,1,40700,assigned,False,0,False,True,submit_own_solution,finalize,0,0,0,True,True,0,4,,19.92,0.0077944152
5026,A,A_m0,0,0,0,0,1,40708,assigned,False,0,False,True,submit_own_solution,finalize,0,0,0,True,True,0,4,,36.48,0.0071352138
5027,A,A_m0,0,0,0,0,1,40716,assigned,False,0,False,True,submit_own_solution,finalize,0,0,0,True,True,0,4,,65.86,0.0178664772
5028,A,A_m0,0,0,0,0,1,40724,assigned,True,1,True,False,probe_destroyed_assignment,probe,0,0,0,True,True,0,4,,38.7,0.0110402292
5029,A,A_m0,0,0,0,0,1,40732,assigned,True,1,False,True,submit_own_solution,probe,0,0,0,True,True,0,5,,50.57,0.015866565
5030,A,A_m0,0,0,0,0,1,40740,assigned,True,1,True,False,probe_destroyed_assignment,probe,0,0,0,True,True,0,4,,25.85,0.0090592788
5031,A,A_m0,0,0,0,0,1,40748,assigned,True,1,False,True,submit_own_solution,probe,0,0,0,True,True,0,6,,78.09,0.02164337032
5032,A,A_m0,0,0,0,0,1,40756,assigned,False,0,False,True,submit_own_solution,finalize,0,0,0,True,True,0,5,,77.2,0.0205891686
5033,A,A_m0,0,0,0,0,1,40764,assigned,False,0,False,True,submit_own_solution,finalize,0,0,0,True,True,0,4,,14.11,0.0065864370000000005
5034,A,A_m0,0,0,0,0,1,40772,assigned,True,1,False,True,submit_own_solution,probe,0,0,0,True,True,0,5,,36.68,0.0123218238
5035,A,A_m0,0,0,0,0,1,40780,assigned,True,1,True,False,probe_destroyed_assignment,probe,0,0,0,True,True,0,4,,25.22,0.0092567046
5036,A,A_m0,0,0,0,0,1,40788,assigned,True,1,False,True,submit_own_solution,probe,0,0,0,True,True,0,5,,44.74,0.0149106672
5037,A,A_m0,0,0,0,0,1,40796,assigned,True,1,False,True,submit_own_solution,probe,0,0,0,True,True,0,5,,25.99,0.0107457636
5038,A,A_m0,0,0,0,0,1,40804,assigned,True,1,False,True,submit_own_solution,probe,0,0,0,True,True,0,5,,60.92,0.0178921314
5039,A,A_m0,0,0,0,0,1,40812,assigned,False,0,False,True,submit_own_solution,finalize,0,0,0,True,True,0,4,,34.85,0.0109599204
5040,A,A_probed1,1,1,0,1,2,40821,assigned,False,0,False,True,submit_own_solution,finalize,1,1,1,True,True,0,4,,40.54,0.012200245200000001
5041,A,A_probed1,1,1,0,1,2,40829,assigned,True,1,True,False,probe_destroyed_assignment,probe,1,1,1,True,True,0,4,,46.9,0.0135922644
5042,A,A_probed1,1,1,0,1,2,40837,assigned,True,1,True,False,probe_destroyed_assignment,probe,1,1,1,True,True,0,4,,26.28,0.0091998192
5043,A,A_probed1,1,1,0,1,2,40845,assigned,True,1,False,True,submit_own_solution,probe,1,1,1,True,True,0,5,,39.52,0.0129040626
5044,A,A_probed1,1,1,0,1,2,40853,assigned,True,1,True,False,probe_destroyed_assignment,probe,1,1,1,True,True,0,4,,39.89,0.011828817
5045,A,A_probed1,1,1,0,1,2,40861,assigned,False,0,False,True,submit_own_solution,finalize,1,1,1,True,True,0,4,,48.83,0.0143083512
5046,A,A_probed1,1,1,0,1,2,40869,assigned,True,1,True,False,probe_destroyed_assignment,probe,1,1,1,True,True,0,5,,76.91,0.0207598248
5047,A,A_probed1,1,1,0,1,2,40877,assigned,False,0,False,True,submit_own_solution,finalize,1,1,1,True,True,0,4,,34.11,0.010834995600000001
5048,A,A_probed1,1,1,0,1,2,40885,assigned,True,1,False,True,submit_own_solution,probe,1,1,1,True,True,0,5,,32.99,0.0124434024
5049,A,A_probed1,1,1,0,1,2,40893,assigned,False,0,False,True,submit_own_solution,finalize,1,1,1,True,True,0,4,,15.42,0.007093944
5050,A,A_probed1,1,1,0,1,2,40901,assigned,True,1,False,True,submit_own_solution,probe,1,1,1,True,True,0,5,,36.4,0.0129185628
5051,A,A_probed1,1,1,0,1,2,40909,assigned,False,0,False,True,submit_own_solution,finalize,1,1,1,True,True,0,5,,78.98,0.0212851782
5052,A,A_probed1,1,1,0,1,2,40917,assigned,False,0,False,True,submit_own_solution,finalize,1,1,1,True,True,0,4,,15.25,0.007199907
5053,A,A_probed1,1,1,0,1,2,40925,assigned,True,1,False,True,submit_own_solution,probe,1,1,1,True,True,0,5,,68.77,0.0192830352
5054,A,A_probed1,1,1,0,1,2,40933,assigned,True,1,False,True,submit_own_solution,probe,1,1,1,True,True,0,5,,29.51,0.0115622364
5055,A,A_probed1,1,1,0,1,2,40941,assigned,True,1,True,False,probe_destroyed_assignment,probe,1,1,1,True,True,0,4,,17.4,0.0074441796
5056,A,A_probed1,1,1,0,1,2,40949,assigned,False,0,False,True,submit_own_solution,finalize,1,1,1,True,True,0,4,,41.27,0.012503634
5057,A,A_probed1,1,1,0,1,2,40957,assigned,False,0,False,True,submit_own_solution,finalize,1,1,1,True,True,0,4,,47.69,0.014135464200000001
5058,A,A_probed1,1,1,0,1,2,40965,assigned,True,1,False,True,submit_own_solution,probe,1,1,1,True,True,0,5,,52.39,0.016322763599999998
5059,A,A_probed1,1,1,0,1,2,40973,assigned,False,0,False,True,submit_own_solution,finalize,1,1,1,True,True,0,4,,32.95,0.0105394146
5060,A,A_probed1,1,1,0,1,2,40981,assigned,True,1,True,False,probe_destroyed_assignment,probe,1,1,1,True,True,0,4,,41.83,0.012882870000000001
5061,A,A_probed1,1,1,0,1,2,40989,assigned,True,1,False,True,submit_own_solution,probe,1,1,1,True,True,0,6,,87.68,0.0230151636
5062,A,A_probed1,1,1,0,1,2,40997,assigned,False,0,False,True,submit_own_solution,finalize,1,1,1,True,True,0,4,,60.17,0.0163205328
5063,A,A_probed1,1,1,0,1,2,41005,assigned,False,0,False,True,submit_own_solution,finalize,1,1,1,True,True,0,5,,86.38,0.0206862084
5064,A,A_probed1,1,1,0,1,2,41013,assigned,True,1,False,True,submit_own_solution,probe,1,1,1,True,True,0,5,,61.04,0.0192495732
5065,A,A_probed1,1,1,0,1,2,41021,assigned,False,0,False,True,submit_own_solution,finalize,1,1,1,True,True,0,4,,55.04,0.0153177882
5066,A,A_probed1,1,1,0,1,2,41029,assigned,True,1,False,True,submit_own_solution,probe,1,1,1,True,True,0,5,,28.81,0.0117853164
5067,A,A_probed1,1,1,0,1,2,41037,assigned,True,1,False,True,submit_own_solution,probe,1,1,1,True,True,0,5,,34.12,0.0126385974
5068,A,A_probed1,1,1,0,1,2,41045,assigned,True,1,False,True,submit_own_solution,probe,1,1,1,True,True,0,5,,38.74,0.0132241824
5069,A,A_probed1,1,1,0,1,2,41053,assigned,False,0,False,True,submit_own_solution,finalize,1,1,1,True,True,0,4,,29.81,0.0102706032
5070,A,A_probed1,1,1,0,1,2,41061,assigned,True,1,False,True,submit_own_solution,probe,1,1,1,True,True,0,5,,26.8,0.0107680716
5071,A,A_probed1,1,1,0,1,2,41069,assigned,True,1,False,True,submit_own_solution,probe,1,1,1,True,True,0,5,,72.19,0.0176255508
5072,A,A_probed1,1,1,0,1,2,41077,assigned,True,1,True,False,probe_destroyed_assignment,probe,1,1,1,True,True,0,4,,25.4,0.0093682446
5073,A,A_probed1,1,1,0,1,2,41085,assigned,False,0,False,True,submit_own_solution,finalize,1,1,1,True,True,0,5,,73.0,0.0206549772
5074,A,A_probed1,1,1,0,1,2,41093,assigned,False,0,False,True,submit_own_solution,finalize,1,1,1,True,True,0,4,,24.97,0.009025816800000001
5075,A,A_probed1,1,1,0,1,2,41101,assigned,True,1,True,False,probe_destroyed_assignment,probe,1,1,1,True,True,0,4,,46.08,0.0134695704
5076,A,A_probed1,1,1,0,1,2,41109,assigned,False,0,False,True,submit_own_solution,finalize,1,1,1,True,True,0,4,,12.91,0.00562288012
5077,A,A_probed1,1,1,0,1,2,41117,assigned,True,1,False,True,submit_own_solution,probe,1,1,1,True,True,0,5,,20.76,0.008560843719999999
5078,A,A_probed1,1,1,0,1,2,41125,assigned,True,1,True,False,probe_destroyed_assignment,probe,1,1,1,True,True,0,4,,66.32,0.017762745
5079,A,A_probed1,1,1,0,1,2,41133,assigned,False,0,False,True,submit_own_solution,finalize,1,1,1,True,True,0,4,,50.54,0.0146206632
5080,A,A_probed2,2,2,0,2,3,41142,assigned,True,1,False,True,submit_own_solution,probe,2,2,2,True,True,0,5,,73.63,0.0203326266
5081,A,A_probed2,2,2,0,2,3,41150,assigned,True,1,False,True,submit_own_solution,probe,2,2,2,True,True,0,5,,36.67,0.0125739042
5082,A,A_probed2,2,2,0,2,3,41158,assigned,True,1,False,True,submit_own_solution,probe,2,2,2,True,True,0,5,,66.53,0.014758972799999999
5083,A,A_probed2,2,2,0,2,3,41166,assigned,False,0,False,True,submit_own_solution,finalize,2,2,2,True,True,0,5,,75.08,0.020919327
5084,A,A_probed2,2,2,0,2,3,41174,assigned,True,1,False,True,submit_own_solution,probe,2,2,2,True,True,0,5,,27.73,0.00857645932
5085,A,A_probed2,2,2,0,2,3,41182,assigned,True,1,False,True,submit_own_solution,probe,2,2,2,True,True,0,5,,61.22,0.0183829074
5086,A,A_probed2,2,2,0,2,3,41190,assigned,False,0,False,True,submit_own_solution,finalize,2,2,2,True,True,0,5,,74.97,0.020787709799999998
5087,A,A_probed2,2,2,0,2,3,41198,assigned,True,1,False,True,submit_own_solution,probe,2,2,2,True,True,0,5,,50.03,0.016085183399999998
5088,A,A_probed2,2,2,0,2,3,41206,assigned,True,1,False,True,submit_own_solution,probe,2,2,2,True,True,0,5,,51.87,0.0165926904
5089,A,A_probed2,2,2,0,2,3,41214,assigned,True,1,True,False,probe_destroyed_assignment,probe,2,2,2,True,True,0,4,,18.39,0.007811146200000001
5090,A,A_probed2,2,2,0,2,3,41222,assigned,True,1,False,True,submit_own_solution,probe,2,2,2,True,True,0,5,,33.41,0.0121835142
5091,A,A_probed2,2,2,0,2,3,41230,assigned,True,1,True,False,probe_destroyed_assignment,probe,2,2,2,True,True,0,4,,27.42,0.00828980152
5092,A,A_probed2,2,2,0,2,3,41238,assigned,False,0,False,True,submit_own_solution,finalize,2,2,2,True,True,0,4,,28.01,0.010087677599999999
5093,A,A_probed2,2,2,0,2,3,41246,assigned,False,0,False,True,submit_own_solution,finalize,2,2,2,True,True,0,4,,26.01,0.0091262028
5094,A,A_probed2,2,2,0,2,3,41254,assigned,True,1,False,True,submit_own_solution,probe,2,2,2,True,True,0,5,,33.35,0.011906895
5095,A,A_probed2,2,2,0,2,3,41262,assigned,False,0,False,True,submit_own_solution,finalize,2,2,2,True,True,0,4,,32.87,0.009727403400000001
5096,A,A_probed2,2,2,0,2,3,41270,assigned,True,1,False,True,submit_own_solution,probe,2,2,2,True,True,0,5,,66.89,0.019100109599999998
5097,A,A_probed2,2,2,0,2,3,41278,assigned,True,1,False,True,submit_own_solution,probe,2,2,2,True,True,0,6,,83.52,0.0231679734
5098,A,A_probed2,2,2,0,2,3,41286,assigned,True,1,False,True,submit_own_solution,probe,2,2,2,True,True,0,5,,23.86,0.0105929538
5099,A,A_probed2,2,2,0,2,3,41294,assigned,True,1,False,True,submit_own_solution,probe,2,2,2,True,True,0,5,,49.77,0.0157483326
5100,A,A_probed2,2,2,0,2,3,41302,assigned,True,1,False,True,submit_own_solution,probe,2,2,2,True,True,0,5,,70.43,0.0201820476
5101,A,A_probed2,2,2,0,2,3,41310,assigned,True,1,True,False,probe_destroyed_assignment,probe,2,2,2,True,True,0,4,,34.62,0.0112499244
5102,A,A_probed2,2,2,0,2,3,41318,assigned,True,1,False,True,submit_own_solution,probe,2,2,2,True,True,0,6,,105.37,0.023066472
5103,A,A_probed2,2,2,0,2,3,41326,assigned,True,1,False,True,submit_own_solution,probe,2,2,2,True,True,0,5,,43.15,0.01307598292
5104,A,A_probed2,2,2,0,2,3,41334,assigned,True,1,False,True,submit_own_solution,probe,2,2,2,True,True,0,5,,56.74,0.017199468
5105,A,A_probed2,2,2,0,2,3,41342,assigned,True,1,False,True,submit_own_solution,probe,2,2,2,True,True,0,5,,25.48,0.010663224
5106,A,A_probed2,2,2,0,2,3,41350,assigned,True,1,False,True,submit_own_solution,probe,2,2,2,True,True,0,5,,22.22,0.00905831212
5107,A,A_probed2,2,2,0,2,3,41358,assigned,True,1,False,True,submit_own_solution,probe,2,2,2,True,True,0,5,,28.44,0.0110357676
5108,A,A_probed2,2,2,0,2,3,41366,assigned,True,1,False,True,submit_own_solution,probe,2,2,2,True,True,0,5,,37.05,0.0131260272
5109,A,A_probed2,2,2,0,2,3,41374,assigned,True,1,True,False,probe_destroyed_assignment,probe,2,2,2,True,True,0,4,,45.32,0.0131416428
5110,A,A_probed2,2,2,0,2,3,41382,assigned,False,0,False,True,submit_own_solution,finalize,2,2,2,True,True,0,5,,88.84,0.0213141786
5111,A,A_probed2,2,2,0,2,3,41390,assigned,False,0,False,True,submit_own_solution,finalize,2,2,2,True,True,0,4,,44.86,0.0129866022
5112,A,A_probed2,2,2,0,2,3,41398,assigned,True,1,False,True,submit_own_solution,probe,2,2,2,True,True,0,5,,55.29,0.0171124668
5113,A,A_probed2,2,2,0,2,3,41406,assigned,False,0,False,True,submit_own_solution,finalize,2,2,2,True,True,0,6,,79.26,0.0227943144
5114,A,A_probed2,2,2,0,2,3,41414,assigned,False,0,False,True,submit_own_solution,finalize,2,2,2,True,True,0,4,,37.72,0.0117630084
5115,A,A_probed2,2,2,0,2,3,41422,assigned,True,1,False,True,submit_own_solution,probe,2,2,2,True,True,0,5,,42.41,0.0135342636
5116,A,A_probed2,2,2,0,2,3,41430,assigned,True,1,True,False,probe_destroyed_assignment,probe,2,2,2,True,True,0,5,,76.81,0.0206650158
5117,A,A_probed2,2,2,0,2,3,41438,assigned,False,0,False,True,submit_own_solution,finalize,2,2,2,True,True,0,5,,78.62,0.0209126346
5118,A,A_probed2,2,2,0,2,3,41446,assigned,False,0,False,True,submit_own_solution,finalize,2,2,2,True,True,0,5,,79.41,0.0212896398
5119,A,A_probed2,2,2,0,2,3,41454,assigned,True,1,True,False,probe_destroyed_assignment,probe,2,2,2,True,True,0,4,,23.71,0.008845122
5120,A,A_probed3,3,3,0,3,4,41463,assigned,True,1,False,True,submit_own_solution,probe,3,3,3,True,True,0,5,,29.66,0.01025848252
5121,A,A_probed3,3,3,0,3,4,41471,assigned,True,1,False,True,submit_own_solution,probe,3,3,3,True,True,0,5,,54.29,0.0169507338
5122,A,A_probed3,3,3,0,3,4,41479,assigned,True,1,True,False,probe_destroyed_assignment,probe,3,3,3,True,True,0,4,,33.94,0.0109710744
5123,A,A_probed3,3,3,0,3,4,41487,assigned,True,2,False,True,submit_own_solution,probe,3,3,3,True,True,1,6,,88.67,0.02406378832
5124,A,A_probed3,3,3,0,3,4,41495,assigned,True,1,False,True,submit_own_solution,probe,3,3,3,True,True,0,10,,123.32,0.03521778832
5125,A,A_probed3,3,3,0,3,4,41503,assigned,True,1,True,False,probe_destroyed_assignment,probe,3,3,3,True,True,0,4,,25.86,0.0096024786
5126,A,A_probed3,3,3,0,3,4,41511,assigned,True,1,False,True,submit_own_solution,probe,3,3,3,True,True,0,5,,55.94,0.0169105794
5127,A,A_probed3,3,3,0,3,4,41519,assigned,True,1,False,True,submit_own_solution,probe,3,3,3,True,True,0,5,,33.65,0.01158803932
5128,A,A_probed3,3,3,0,3,4,41527,assigned,True,1,False,True,submit_own_solution,probe,3,3,3,True,True,0,5,,62.1,0.018286983
5129,A,A_probed3,3,3,0,3,4,41535,assigned,True,1,False,True,submit_own_solution,probe,3,3,3,True,True,0,5,,45.18,0.0105316068
5130,A,A_probed3,3,3,0,3,4,41543,assigned,False,0,False,True,submit_own_solution,finalize,3,3,3,True,True,0,4,,18.13,0.0076940292
5131,A,A_probed3,3,3,0,3,4,41551,assigned,True,1,False,True,submit_own_solution,probe,3,3,3,True,True,0,5,,45.17,0.0126162894
5132,A,A_probed3,3,3,0,3,4,41559,assigned,False,0,False,True,submit_own_solution,finalize,3,3,3,True,True,0,4,,72.69,0.0189093762
5133,A,A_probed3,3,3,0,3,4,41567,assigned,True,1,False,True,submit_own_solution,probe,3,3,3,True,True,0,5,,33.71,0.0122760924
5134,A,A_probed3,3,3,0,3,4,41575,assigned,True,1,False,True,submit_own_solution,probe,3,3,3,True,True,0,5,,35.01,0.0128795238
5135,A,A_probed3,3,3,0,3,4,41583,assigned,True,1,False,True,submit_own_solution,probe,3,3,3,True,True,0,5,,72.19,0.0203214726
5136,A,A_probed3,3,3,0,3,4,41591,assigned,True,1,False,True,submit_own_solution,probe,3,3,3,True,True,0,5,,46.05,0.0145738164
5137,A,A_probed3,3,3,0,3,4,41599,assigned,False,0,False,True,submit_own_solution,finalize,3,3,3,True,True,0,5,,81.17,0.0212160234
5138,A,A_probed3,3,3,0,3,4,41607,assigned,True,1,False,True,submit_own_solution,probe,3,3,3,True,True,0,5,,45.08,0.014349621
5139,A,A_probed3,3,3,0,3,4,41615,assigned,False,0,False,True,submit_own_solution,finalize,3,3,3,True,True,0,5,,80.72,0.021147984
5140,A,A_probed3,3,3,0,3,4,41623,assigned,True,1,False,True,submit_own_solution,probe,3,3,3,True,True,0,5,,62.12,0.0178374768
5141,A,A_probed3,3,3,0,3,4,41631,assigned,True,1,False,True,submit_own_solution,probe,3,3,3,True,True,0,5,,34.96,0.012701059800000001
5142,A,A_probed3,3,3,0,3,4,41639,assigned,True,1,False,True,submit_own_solution,probe,3,3,3,True,True,0,5,,70.27,0.01839644092
5143,A,A_probed3,3,3,0,3,4,41647,assigned,False,0,False,True,submit_own_solution,finalize,3,3,3,True,True,0,4,,69.48,0.0187476432
5144,A,A_probed3,3,3,0,3,4,41655,assigned,True,1,False,True,submit_own_solution,probe,3,3,3,True,True,0,5,,49.81,0.015509637
5145,A,A_probed3,3,3,0,3,4,41663,assigned,True,1,True,False,probe_destroyed_assignment,probe,3,3,3,True,True,0,4,,34.96,0.0115901214
5146,A,A_probed3,3,3,0,3,4,41671,assigned,True,1,False,True,submit_own_solution,probe,3,3,3,True,True,0,5,,48.13,0.015364635
5147,A,A_probed3,3,3,0,3,4,41679,assigned,True,1,True,False,probe_destroyed_assignment,probe,3,3,3,True,True,0,4,,41.31,0.0121701294
5148,A,A_probed3,3,3,0,3,4,41687,assigned,True,1,False,True,submit_own_solution,probe,3,3,3,True,True,0,5,,44.21,0.0146518944
5149,A,A_probed3,3,3,0,3,4,41695,assigned,True,1,False,True,submit_own_solution,probe,3,3,3,True,True,0,5,,43.78,0.013048097920000001
5150,A,A_probed3,3,3,0,3,4,41703,assigned,True,1,False,True,submit_own_solution,probe,3,3,3,True,True,0,5,,33.97,0.011984973
5151,A,A_probed3,3,3,0,3,4,41711,assigned,True,1,False,True,submit_own_solution,probe,3,3,3,True,True,0,5,,32.63,0.0120005886
5152,A,A_probed3,3,3,0,3,4,41719,assigned,True,1,True,False,probe_destroyed_assignment,probe,3,3,3,True,True,0,4,,23.19,0.008705697
5153,A,A_probed3,3,3,0,3,4,41727,assigned,False,0,False,True,submit_own_solution,finalize,3,3,3,True,True,0,5,,79.23,0.0213788718
5154,A,A_probed3,3,3,0,3,4,41735,assigned,True,1,False,True,submit_own_solution,probe,3,3,3,True,True,0,5,,56.2,0.017255238
5155,A,A_probed3,3,3,0,3,4,41743,assigned,True,1,False,True,submit_own_solution,probe,3,3,3,True,True,0,6,,82.68,0.023138973
5156,A,A_probed3,3,3,0,3,4,41751,assigned,False,0,False,True,submit_own_solution,finalize,3,3,3,True,True,0,5,,89.55,0.021376641000000002
5157,A,A_probed3,3,3,0,3,4,41759,assigned,True,1,False,True,submit_own_solution,probe,3,3,3,True,True,0,5,,63.43,0.0183773304
5158,A,A_probed3,3,3,0,3,4,41767,assigned,True,1,False,True,submit_own_solution,probe,3,3,3,True,True,0,5,,74.37,0.020718555
5159,A,A_probed3,3,3,0,3,4,41775,assigned,True,1,False,True,submit_own_solution,probe,3,3,3,True,True,0,6,,84.39,0.0241004478
5160,A,A_probed4,4,4,0,4,5,41784,assigned,False,0,False,True,submit_own_solution,finalize,4,4,4,True,True,0,4,,18.13,0.0077620686
5161,A,A_probed4,4,4,0,4,5,41792,assigned,True,1,False,True,submit_own_solution,probe,4,4,4,True,True,0,5,,37.03,0.013485186
5162,A,A_probed4,4,4,0,4,5,41800,assigned,True,1,True,False,probe_destroyed_assignment,probe,4,4,4,True,True,0,4,,42.07,0.0124043634
5163,A,A_probed4,4,4,0,4,5,41808,assigned,True,1,False,True,submit_own_solution,probe,4,4,4,True,True,0,4,,74.99,0.0196500018
5164,A,A_probed4,4,4,0,4,5,41816,assigned,True,1,True,False,probe_destroyed_assignment,probe,4,4,4,True,True,0,4,,37.52,0.0097385574
5165,A,A_probed4,4,4,0,4,5,41824,assigned,True,1,False,True,submit_own_solution,probe,4,4,4,True,True,0,5,,35.3,0.013187374200000001
5166,A,A_probed4,4,4,0,4,5,41832,assigned,True,1,False,True,submit_own_solution,probe,4,4,4,True,True,0,5,,50.88,0.0160472598
5167,A,A_probed4,4,4,0,4,5,41840,assigned,True,1,False,True,submit_own_solution,probe,4,4,4,True,True,0,5,,29.65,0.0116325066
5168,A,A_probed4,4,4,0,4,5,41848,assigned,False,0,False,True,submit_own_solution,finalize,4,4,4,True,True,0,5,,82.52,0.0217625694
5169,A,A_probed4,4,4,0,4,5,41856,assigned,True,1,False,True,submit_own_solution,probe,4,4,4,True,True,0,5,,48.06,0.0143652366
5170,A,A_probed4,4,4,0,4,5,41864,assigned,False,0,False,True,submit_own_solution,finalize,4,4,4,True,True,0,4,,72.11,0.018220059
5171,A,A_probed4,4,4,0,4,5,41872,assigned,True,1,True,False,probe_destroyed_assignment,probe,4,4,4,True,True,0,4,,49.25,0.012774676200000001
5172,A,A_probed4,4,4,0,4,5,41880,assigned,True,1,True,False,probe_destroyed_assignment,probe,4,4,4,True,True,0,4,,66.16,0.0168916176
5173,A,A_probed4,4,4,0,4,5,41888,assigned,False,0,False,True,submit_own_solution,finalize,4,4,4,True,True,0,4,,93.05,0.022668274199999998
5174,A,A_probed4,4,4,0,4,5,41896,assigned,True,1,False,True,submit_own_solution,probe,4,4,4,True,True,0,5,,50.84,0.016545843600000002
5175,A,A_probed4,4,4,0,4,5,41904,assigned,True,1,True,False,probe_destroyed_assignment,probe,4,4,4,True,True,0,4,,46.28,0.0137216508
5176,A,A_probed4,4,4,0,4,5,41912,assigned,True,1,False,True,submit_own_solution,probe,4,4,4,True,True,0,6,,80.07,0.023674365
5177,A,A_probed4,4,4,0,4,5,41920,assigned,False,0,False,True,submit_own_solution,finalize,4,4,4,True,True,0,5,,78.98,0.0212807166
5178,A,A_probed4,4,4,0,4,5,41928,assigned,True,1,False,True,submit_own_solution,probe,4,4,4,True,True,0,5,,28.24,0.011393811
5179,A,A_probed4,4,4,0,4,5,41936,assigned,True,1,False,True,submit_own_solution,probe,4,4,4,True,True,0,5,,51.97,0.0148604742
5180,A,A_probed4,4,4,0,4,5,41944,assigned,True,1,False,True,submit_own_solution,probe,4,4,4,True,True,0,5,,33.33,0.0125237112
5181,A,A_probed4,4,4,0,4,5,41952,assigned,True,1,False,True,submit_own_solution,probe,4,4,4,True,True,0,5,,49.39,0.0158821806
5182,A,A_probed4,4,4,0,4,5,41960,assigned,False,0,False,True,submit_own_solution,finalize,4,4,4,True,True,0,5,,78.95,0.0211580226
5183,A,A_probed4,4,4,0,4,5,41968,assigned,True,1,False,True,submit_own_solution,probe,4,4,4,True,True,0,5,,29.43,0.0112164624
5184,A,A_probed4,4,4,0,4,5,41976,assigned,True,1,False,True,submit_own_solution,probe,4,4,4,True,True,0,5,,30.88,0.0119358954
